Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Stephen Anthony Abas;M;26;165;121,2542441;United States;Wrestling;Wrestling Men's Featherweight, Freestyle;Silver
Tamila Rashidovna Abasova;F;21;163;132,2773572;Russia;Cycling;Cycling Women's Sprint;Silver
Nia Nicole Abdallah;F;20;175;123,4588667;United States;Taekwondo;Taekwondo Women's Featherweight;Silver
Ara Abrahamian;M;29;191;185,1883001;Sweden;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Silver
Pavel Sergeyevich Abramov;M;25;198;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Julien Absalon;M;23;180;149,9143382;France;Cycling;Cycling Men's Mountainbike, Cross-Country;Gold
Luca Agamennoni;M;24;187;205,0299037;Italy;Rowing;Rowing Men's Coxless Fours;Bronze
Christian Ahlmann;M;29;189;176,3698096;Germany;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
"Christian ""Chris"" Ahrens";M;28;195;213,8483941;United States;Rowing;Rowing Men's Coxed Eights;Gold
Mara Magdalena Aicega Amicarelli;F;30;165;132,2773572;Argentina;Hockey;Hockey Women's Hockey;Bronze
Ryoji Aikawa;M;28;183;187,3929227;Japan;Baseball;Baseball Men's Baseball;Bronze
"Charles Benedict ""Ben"" Ainslie";M;27;183;198,4160358;Great Britain;Sailing;Sailing Men's One Person Dinghy;Gold
Khadzhimurat Magomedovich Akkayev;M;19;178;231,4853751;Russia;Weightlifting;Weightlifting Men's Middle-Heavyweight;Silver
Naser Al Shami;M;22;187;178,5744322;Syria;Boxing;Boxing Men's Heavyweight;Bronze
Ahmed bin Hasher Al-Maktoum;M;40;175;147,7097155;United Arab Emirates;Shooting;Shooting Men's Double Trap;Gold
Virgilijus Alekna;M;32;200;286,6009406;Lithuania;Athletics;Athletics Men's Discus Throw;Gold
Sergey Gennadyevich Alifirenko;M;45;168;158,7328286;Russia;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;Bronze
Aline Pellegrino;F;22;180;156,528206;Brazil;Football;Football Women's Football;Silver
Aleksey Aleksandrovich Alipov;M;29;175;176,3698096;Russia;Shooting;Shooting Men's Trap;Gold
Deji Aliu;M;28;187;165,3466965;Nigeria;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)";F;34;163;116,8449989;Austria;Triathlon;Triathlon Women's Olympic Distance;Gold
Wyatt Allen;M;25;193;216,0530168;United States;Rowing;Rowing Men's Coxed Eights;Gold
"Sandra Louise ""Sandy"" Allen-Lewis";F;25;170;130,0727346;Australia;Softball;Softball Women's Softball;Silver
Carmela Allucci;F;34;167;132,2773572;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Mohamed Aly Reda;M;29;190;200,6206584;Egypt;Boxing;Boxing Men's Super-Heavyweight;Silver
Catello Amarante;M;24;177;160,9374513;Italy;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Salvatore Amitrano;M;28;184;160,9374513;Italy;Rowing;Rowing Men's Lightweight Coxless Fours;Bronze
Mario Ani;M;20;195;185,1883001;Croatia;Tennis;Tennis Men's Doubles;Bronze
Kristine Andersen;F;28;172;158,7328286;Denmark;Handball;Handball Women's Handball;Gold
Anderson de Oliveira Rodrigues;M;30;190;209,4391489;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Craig Anthony Anderson;M;23;187;189,5975453;Australia;Baseball;Baseball Men's Baseball;Silver
Yuya Ando;M;26;183;196,2114132;Japan;Baseball;Baseball Men's Baseball;Bronze
Andria Suntaque;F;26;175;143,3004703;Brazil;Football;Football Women's Football;Silver
Noriko Anno;F;28;162;167,5513191;Japan;Judo;Judo Women's Half-Heavyweight;Gold
Carmelo Kyan Anthony;M;20;203;240,3038656;United States;Basketball;Basketball Men's Basketball;Bronze
"Michael E. ""Mike"" Anti";M;40;173;160,9374513;United States;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Silver
Mariela Andrea Antoniska Arrondo;F;29;170;154,3235834;Argentina;Hockey;Hockey Women's Hockey;Bronze
Nataliya Nikolayevna Antyukh;F;23;182;152,1189608;Russia;Athletics;Athletics Women's 400 metres;Bronze
Nataliya Nikolayevna Antyukh;F;23;182;152,1189608;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Silver
Eref Apak;M;22;184;264,5547144;Turkey;Athletics;Athletics Men's Hammer Throw;Bronze
Reyhan Arabacolu;M;21;170;169,7559417;Turkey;Weightlifting;Weightlifting Men's Middleweight;Bronze
Lorenzo Aragon Armenteros;M;30;163;152,1189608;Cuba;Boxing;Boxing Men's Welterweight;Silver
Alexandra Araujo;F;32;167;147,7097155;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Yordanis Arencibia Verdecia;M;24;167;145,5050929;Cuba;Judo;Judo Men's Half-Lightweight;Bronze
Magomed Davudovich Aripgadzhiyev;M;26;185;178,5744322;Belarus;Boxing;Boxing Men's Light-Heavyweight;Silver
Anna Valeryevna Arkhipova;F;31;176;138,8912251;Russia;Basketball;Basketball Women's Basketball;Bronze
Judith Arndt;F;28;173;130,0727346;Germany;Cycling;Cycling Women's Road Race, Individual;Silver
Clemens Arnold;M;25;183;191,8021679;Germany;Hockey;Hockey Men's Hockey;Bronze
Christine Arron;F;30;177;141,0958477;France;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Ins Arrondo;F;26;167;127,868112;Argentina;Hockey;Hockey Women's Hockey;Bronze
Yevgeniya Viktorovna Artamonova-Estes;F;29;191;165,3466965;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Bakhtiyar Garifulayevich Artayev;M;21;183;165,3466965;Kazakhstan;Boxing;Boxing Men's Welterweight;Gold
Olga Dmitriyevna Arteshina;F;21;191;171,9605644;Russia;Basketball;Basketball Women's Basketball;Bronze
Sedat Artu;M;28;162;123,4588667;Turkey;Weightlifting;Weightlifting Men's Bantamweight;Bronze
Giorgi Asanidze;M;28;173;187,3929227;Georgia;Weightlifting;Weightlifting Men's Light-Heavyweight;Gold
Dimitra Asilian;F;32;170;132,2773572;Greece;Water Polo;Water Polo Women's Water Polo;Silver
Fuad Aslanov;M;21;175;163,1420739;Azerbaijan;Boxing;Boxing Men's Flyweight;Bronze
rad Suleyman Aumova;F;46;158;125,6634893;Azerbaijan;Shooting;Shooting Women's Sporting Pistol, 25 metres;Bronze
Musa Audu;M;24;174;165,3466965;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Roberto Fabin Ayala;M;31;177;165,3466965;Argentina;Football;Football Men's Football;Gold
"Luciana Paula ""Lucha"" Aymar";F;27;178;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Bronze
Sarah Lianne Ayton (-Dempsey);F;24;167;138,8912251;Great Britain;Sailing;Sailing Women's Three Person Keelboat;Gold
