Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Ragnhild Margrethe Aamodt;F;27;163;;Norway;Handball;Handball Women's Handball;Gold
Jos Luis Abajo Gmez;M;30;194;191,8021679;Spain;Fencing;Fencing Men's epee, Individual;Bronze
Mariya Vasilyevna Abakumova (-Tarabina);F;22;179;176,3698096;Russia;Athletics;Athletics Women's Javelin Throw;Silver
Aleksey Aleksandrovich Abalmasov;M;28;180;182,9836775;Belarus;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Luc Abalo;M;23;182;189,5975453;France;Handball;Handball Men's Handball;Gold
Jol Marc Abati;M;38;190;187,3929227;France;Handball;Handball Men's Handball;Gold
"Desmond ""Des"" Abbott";M;21;184;191,8021679;Australia;Hockey;Hockey Men's Hockey;Bronze
Monica Cecilia Abbott;F;23;191;194,0067906;United States;Softball;Softball Women's Softball;Silver
Yusup Abdusalomov;M;30;170;185,1883001;Tajikistan;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Silver
Elvan Abeylegesse;F;25;159;88,1849048;Turkey;Athletics;Athletics Women's 5,000 metres;Silver
Svetlana Olegovna Abrosimova;F;28;188;169,7559417;Russia;Basketball;Basketball Women's Basketball;Bronze
Julien Absalon;M;27;180;149,9143382;France;Cycling;Cycling Men's Mountainbike, Cross-Country;Gold
Andreea Roxana Acatrinei;F;16;150;88,1849048;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Lautaro Germn Acosta;M;20;168;158,7328286;Argentina;Football;Football Men's Football;Gold
Osmay Acosta Duarte;M;23;188;200,6206584;Cuba;Boxing;Boxing Men's Heavyweight;Bronze
Valerie Kasanita Adams-Vili (-Price);F;23;193;264,5547144;New Zealand;Athletics;Athletics Women's Shot Put;Gold
Olubayo Adefemi;M;22;181;180,7790548;Nigeria;Football;Football Men's Football;Silver
"Ayodele ""Dele"" Adeleye";M;19;190;176,3698096;Nigeria;Football;Football Men's Football;Silver
"Rebecca ""Becky"" Adlington";F;19;179;154,3235834;Great Britain;Swimming;Swimming Women's 400 metres Freestyle;Gold
"Rebecca ""Becky"" Adlington";F;19;179;154,3235834;Great Britain;Swimming;Swimming Women's 800 metres Freestyle;Gold
Nathan Ghar-Jun Adrian;M;19;198;220,462262;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Luca Agamennoni;M;27;187;205,0299037;Italy;Rowing;Rowing Men's Quadruple Sculls;Silver
Marilyn Agliotti;F;29;172;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Gold
Sergio Leonel Agero del Castillo;M;20;172;163,1420739;Argentina;Football;Football Men's Football;Gold
Robyn Mokihana Ah Mow-Santos;F;32;172;147,7097155;United States;Volleyball;Volleyball Women's Volleyball;Silver
Mara Magdalena Aicega Amicarelli;F;34;165;132,2773572;Argentina;Hockey;Hockey Women's Hockey;Bronze
"Charles Benedict ""Ben"" Ainslie";M;31;183;198,4160358;Great Britain;Sailing;Sailing Mixed One Person Dinghy;Gold
Artur Surenovych Aivazian;M;35;177;194,0067906;Ukraine;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Gold
"Ebenezer Oluwafemi ""Femi"" Ajilore";M;23;185;165,3466965;Nigeria;Football;Football Men's Football;Silver
Bakhtiyar Shakhabutdinovich Akhmedov;M;21;190;264,5547144;Russia;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Silver
Khadzhimurat Magomedovich Akkayev;M;23;178;231,4853751;Russia;Weightlifting;Weightlifting Men's Middle-Heavyweight;Bronze
Islam-Beka Said-Tsilimovich Albiyev;M;19;165;145,5050929;Russia;Wrestling;Wrestling Men's Lightweight, Greco-Roman;Gold
David Alegre Biosca;M;23;184;165,3466965;Spain;Hockey;Hockey Men's Hockey;Silver
Ramn Alegre Biosca;M;27;171;156,528206;Spain;Hockey;Hockey Men's Hockey;Silver
Virgilijus Alekna;M;36;200;286,6009406;Lithuania;Athletics;Athletics Men's Discus Throw;Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva";M;18;179;156,528206;Brazil;Football;Football Men's Football;Bronze
Aleksey Aleksandrovich Alipov;M;32;175;176,3698096;Russia;Shooting;Shooting Men's Trap;Bronze
Margarita Sergeyevna Aliychuk;F;17;174;105,8218858;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Wyatt Allen;M;29;193;216,0530168;United States;Rowing;Rowing Men's Coxed Eights;Bronze
"Sandra Louise ""Sandy"" Allen-Lewis";F;29;170;130,0727346;Australia;Softball;Softball Women's Softball;Bronze
Lutz Altepost;M;26;193;202,825281;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
"Pablo ""Pol"" Amat Escud";M;30;183;171,9605644;Spain;Hockey;Hockey Men's Hockey;Silver
"Efetobore ""Efe"" Ambrose Emuobo";M;19;187;154,3235834;Nigeria;Football;Football Men's Football;Silver
Roman Amoyan;M;24;158;121,2542441;Armenia;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Bronze
An Jeong-Hwa;F;27;162;136,6866024;South Korea;Handball;Handball Women's Handball;Bronze
An Kum-Ae;F;28;160;114,6403762;North Korea;Judo;Judo Women's Half-Lightweight;Silver
Mads Christian Kruse Andersen;M;30;187;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
nderson Lus de Abreu Oliveira;M;20;176;169,7559417;Brazil;Football;Football Men's Football;Bronze
Anderson de Oliveira Rodrigues;M;34;190;209,4391489;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Brett Franklin Anderson;M;20;193;229,2807525;United States;Baseball;Baseball Men's Baseball;Bronze
Andria Suntaque;F;30;175;143,3004703;Brazil;Football;Football Women's Football;Silver
Yekaterina Sergeyevna Andryushina;F;22;185;154,3235834;Russia;Handball;Handball Women's Handball;Silver
Robert Sebastian Andrzejuk;M;33;179;165,3466965;Poland;Fencing;Fencing Men's epee, Team;Silver
Nadine Marejke Angerer;F;29;174;154,3235834;Germany;Football;Football Women's Football;Bronze
Victor Chinedu Anichebe;M;20;192;207,2345263;Nigeria;Football;Football Men's Football;Silver
Carmelo Kyan Anthony;M;24;203;240,3038656;United States;Basketball;Basketball Men's Basketball;Gold
Olena Anatolivna Antonova;F;36;180;209,4391489;Ukraine;Athletics;Athletics Women's Discus Throw;Bronze
Onyekachi Apam;M;21;180;174,165187;Nigeria;Football;Football Men's Football;Silver
Eduard Arbs Borras;M;25;174;154,3235834;Spain;Hockey;Hockey Men's Hockey;Silver
Yordanis Arencibia Verdecia;M;28;167;145,5050929;Cuba;Judo;Judo Men's Half-Lightweight;Bronze
Aaron Nigel Armstrong;M;30;173;154,3235834;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
"Elizabeth ""Betsey"" Armstrong";F;25;188;169,7559417;United States;Water Polo;Water Polo Women's Water Polo;Silver
Dylan Armstrong;M;27;190;275,5778275;Canada;Athletics;Athletics Men's Shot Put;Bronze
Kristin Ann Armstrong (-Savola);F;34;173;127,868112;United States;Cycling;Cycling Women's Individual Time Trial;Gold
Virginie Arnold;F;28;155;110,231131;France;Archery;Archery Women's Team;Bronze
"Jacob Joseph ""Jake"" Arrieta";M;22;193;224,8715072;United States;Baseball;Baseball Men's Baseball;Bronze
"Alexander Vladimirovich ""Sasha"" Artemev";M;22;168;;United States;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Andrey Nikolayevich Aryamnov;M;20;172;231,4853751;Belarus;Weightlifting;Weightlifting Men's Heavyweight;Gold
Nobuharu Asahara;M;36;179;167,5513191;Japan;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Sergei Aschwanden;M;32;181;202,825281;Switzerland;Judo;Judo Men's Middleweight;Bronze
Sturla sgeirsson;M;28;182;176,3698096;Iceland;Handball;Handball Men's Handball;Silver
Glenn Ashby;M;30;170;167,5513191;Australia;Sailing;Sailing Mixed Multihull;Silver
"Thomas John Mitchell ""Tom"" Ashley";M;24;188;154,3235834;New Zealand;Sailing;Sailing Men's Windsurfer;Gold
Simon Olof Karl Aspelin;M;34;185;174,165187;Sweden-2;Tennis;Tennis Men's Doubles;Silver
Arnr Atlason;M;24;191;200,6206584;Iceland;Handball;Handball Men's Handball;Silver
Seimone Delicia Augustus;F;24;183;163,1420739;United States;Basketball;Basketball Women's Basketball;Gold
Nazmi Avluca;M;31;177;185,1883001;Turkey;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze
"Luciana Paula ""Lucha"" Aymar";F;30;178;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Bronze
Sarah Lianne Ayton (-Dempsey);F;28;167;138,8912251;Great Britain;Sailing;Sailing Women's Three Person Keelboat;Gold
"Anthony Lawrence ""Tony"" Azevedo";M;26;186;198,4160358;United States;Water Polo;Water Polo Men's Water Polo;Silver
Mehdi Abdelhafid Baala;M;29;183;143,3004703;France;Athletics;Athletics Men's 1,500 metres;Bronze
Alesya Aleksandrovna Babushkina;F;19;170;121,2542441;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Bair Dorzhiyevich Badyonov;M;32;178;165,3466965;Russia;Archery;Archery Men's Individual;Bronze
Bae Min-Hee;F;20;169;123,4588667;South Korea;Handball;Handball Women's Handball;Bronze
Julien Bahain;M;22;190;205,0299037;France;Rowing;Rowing Men's Quadruple Sculls;Bronze
Ryan Bailey;M;32;198;244,7131108;United States;Water Polo;Water Polo Men's Water Polo;Silver
"Andretti ""Dretti"" Bain";M;22;175;143,3004703;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
