Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Luc Abalo;M;27;182;189,5975453;France;Handball;Handball Men's Handball;Gold
Jennifer Abel;F;20;160;136,6866024;Canada;Diving;Diving Women's Synchronized Springboard;Bronze
Denis Mikhaylovich Ablyazin;M;19;161;136,6866024;Russia;Gymnastics;Gymnastics Men's Floor Exercise;Bronze
Denis Mikhaylovich Ablyazin;M;19;161;136,6866024;Russia;Gymnastics;Gymnastics Men's Horse Vault;Silver
Alaaeldin Ahmad El-Sayyid Abouelkassem;M;21;188;191,8021679;Egypt;Fencing;Fencing Men's Foil, Individual;Silver
William Accambray;M;24;194;229,2807525;France;Handball;Handball Men's Handball;Gold
Chantal Achterberg;F;27;172;158,7328286;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Nicola Virginia Adams;F;29;164;112,4357536;Great Britain;Boxing;Boxing Women's Flyweight;Gold
Valerie Kasanita Adams-Vili (-Price);F;27;193;264,5547144;New Zealand;Athletics;Athletics Women's Shot Put;Gold
Filip Kamil Adamski;M;29;189;191,8021679;Germany;Rowing;Rowing Men's Coxed Eights;Gold
Adenzia Aparecida Ferreira da Silva;F;25;187;143,3004703;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
"Rebecca ""Becky"" Adlington";F;23;179;154,3235834;Great Britain;Swimming;Swimming Women's 400 metres Freestyle;Bronze
"Rebecca ""Becky"" Adlington";F;23;179;154,3235834;Great Britain;Swimming;Swimming Women's 800 metres Freestyle;Bronze
Nathan Ghar-Jun Adrian;M;23;198;220,462262;United States;Swimming;Swimming Men's 100 metres Freestyle;Gold
Nathan Ghar-Jun Adrian;M;23;198;220,462262;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Nathan Ghar-Jun Adrian;M;23;198;220,462262;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Kseniya Dmitriyevna Afanasyeva;F;20;158;105,8218858;Russia;Gymnastics;Gymnastics Women's Team All-Around;Silver
Marilyn Agliotti;F;33;172;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Gold
Yannick Agnel;M;20;202;198,4160358;France;Swimming;Swimming Men's 200 metres Freestyle;Gold
Yannick Agnel;M;20;202;198,4160358;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Yannick Agnel;M;20;202;198,4160358;France;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Macarena Aguilar Daz;F;27;170;147,7097155;Spain;Handball;Handball Women's Handball;Bronze
Matteo Aicardi;M;26;192;224,8715072;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Hannes Aigner;M;23;183;165,3466965;Germany;Canoeing;Canoeing Men's Kayak Singles, Slalom;Bronze
"Charles Benedict ""Ben"" Ainslie";M;35;183;198,4160358;Great Britain;Sailing;Sailing Men's One Person Heavyweight Dinghy;Gold
Foluke Antinuke Akinradewo;F;24;191;174,165187;United States;Volleyball;Volleyball Women's Volleyball;Silver
Nasser Salih Nasser Abdullah Al-Attiya;M;41;178;180,7790548;Qatar;Shooting;Shooting Men's Skeet;Bronze
Fehaid Al-Deehani;M;45;178;209,4391489;Kuwait;Shooting;Shooting Men's Trap;Bronze
Ramzy Al-Duhami;M;40;162;154,3235834;Saudi Arabia;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Prince Abdullah Bin Moteb Al-Saud;M;27;178;152,1189608;Saudi Arabia;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Marina Alabau Neira;F;26;164;121,2542441;Spain;Sailing;Sailing Women's Windsurfer;Gold
Ruslan Vladimirovich Albegov;M;24;192;343,9211287;Russia;Weightlifting;Weightlifting Men's Super-Heavyweight;Bronze
Nely Carla Alberto Francisca;F;29;179;198,4160358;Spain;Handball;Handball Women's Handball;Bronze
Jo Qesem Ayela Aleh;F;26;171;127,868112;New Zealand;Sailing;Sailing Women's Two Person Dinghy;Gold
Artur Aleksanyan;M;20;190;216,0530168;Armenia;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Bronze
Milan Aleksi;M;26;193;211,6437715;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Alex Sandro Lobo Silva;M;21;177;132,2773572;Brazil;Football;Football Men's Football;Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva";M;22;179;156,528206;Brazil;Football;Football Men's Football;Silver
Sara Anneli Algotsson Ostholt;F;37;163;123,4588667;Sweden;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Silver
Mirko Alilovi;M;26;200;242,5084882;Croatia;Handball;Handball Men's Handball;Bronze
Alison Conte Cerutti;M;26;203;233,6899977;Brazil-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Ade Franci Alleyne-Forte;M;23;180;160,9374513;Trinidad and Tobago;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Jessica Alonso Bernardo;F;28;172;143,3004703;Spain;Handball;Handball Women's Handball;Bronze
"Mikhail Surenovich ""Misha"" Aloyan";M;23;164;114,6403762;Russia;Boxing;Boxing Men's Flyweight;Bronze
Ida Alstad;F;27;172;132,2773572;Norway;Handball;Handball Women's Handball;Gold
Lzaro Jorge lvarez Estrada;M;21;173;132,2773572;Cuba;Boxing;Boxing Men's Bantamweight;Bronze
Yuri Alvear Orjuela;F;26;176;154,3235834;Colombia;Judo;Judo Women's Middleweight;Bronze
Thiago Soares Alves;M;25;194;194,0067906;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Vanessa Amors Quiles;F;29;165;136,6866024;Spain;Handball;Handball Women's Handball;Bronze
Nijel Carlos Amilfitano Amos;M;18;179;132,2773572;Botswana;Athletics;Athletics Men's 800 metres;Silver
An Kum-Ae;F;32;160;114,6403762;North Korea;Judo;Judo Women's Half-Lightweight;Gold
Alyssa Jean Anderson;F;21;173;141,0958477;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Haley Danita Anderson;F;20;178;149,9143382;United States;Swimming;Swimming Women's 10 kilometres Open Water;Silver
Kim Verner Andersson;M;29;200;231,4853751;Sweden;Handball;Handball Men's Handball;Silver
Erik Mattias Andersson;M;34;186;209,4391489;Sweden;Handball;Handball Men's Handball;Silver
