Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Giovanni Abagnale;M;21;198;198,4160358;Italy;Rowing;Rowing Men's Coxless Pairs;Bronze
Patimat Abakarova;F;21;165;108,0265084;Azerbaijan;Taekwondo;Taekwondo Women's Flyweight;Bronze
Luc Abalo;M;31;182;189,5975453;France;Handball;Handball Men's Handball;Silver
Saeid Morad Abdevali;M;26;170;176,3698096;Iran;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Bronze
Denis Mikhaylovich Ablyazin;M;24;161;136,6866024;Russia;Gymnastics;Gymnastics Men's Team All-Around;Silver
Denis Mikhaylovich Ablyazin;M;24;161;136,6866024;Russia;Gymnastics;Gymnastics Men's Horse Vault;Silver
Denis Mikhaylovich Ablyazin;M;24;161;136,6866024;Russia;Gymnastics;Gymnastics Men's Rings;Bronze
"Matthew ""Matt"" Abood";M;30;197;202,825281;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
"Alejandro ""lex"" Abrines Redondo";M;23;198;205,0299037;Spain;Basketball;Basketball Men's Basketball;Bronze
Ahmad Abughaush;M;20;178;149,9143382;Jordan;Taekwondo;Taekwondo Men's Featherweight;Gold
Chantal Achterberg;F;31;172;158,7328286;Netherlands;Rowing;Rowing Women's Quadruple Sculls;Silver
Nicola Virginia Adams;F;33;164;112,4357536;Great Britain;Boxing;Boxing Women's Flyweight;Gold
Rachael Alexis Adams;F;26;188;178,5744322;United States;Volleyball;Volleyball Women's Volleyball;Bronze
Valerie Kasanita Adams-Vili (-Price);F;31;193;264,5547144;New Zealand;Athletics;Athletics Women's Shot Put;Silver
Nathan Ghar-Jun Adrian;M;27;198;220,462262;United States;Swimming;Swimming Men's 50 metres Freestyle;Bronze
Nathan Ghar-Jun Adrian;M;27;198;220,462262;United States;Swimming;Swimming Men's 100 metres Freestyle;Bronze
Nathan Ghar-Jun Adrian;M;27;198;220,462262;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Nathan Ghar-Jun Adrian;M;27;198;220,462262;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Cecil Sebastian Afrika;M;28;175;165,3466965;South Africa;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Bronze
"Timothy Ernest Victor Kwizera ""Tim"" Agaba";M;27;193;229,2807525;South Africa;Rugby Sevens;Rugby Sevens Men's Rugby Sevens;Bronze
