N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Jouan Patrice Abanda Etong;M;22;185;180,7790548;Cameroon;Football;Football Men's Football;Gold
Agostino Abbagnale;M;34;188;211,6437715;Italy;Rowing;Rowing Men's Quadruple Sculls;Gold
Mukhammad Kadyr Abdullayev;M;26;169;138,8912251;Uzbekistan;Boxing;Boxing Men's Light-Welterweight;Gold
Namiq Yadulla Abdullayev;M;29;167;121,2542441;Azerbaijan;Wrestling;Wrestling Men's Bantamweight, Freestyle;Gold
Julius Shareef Abdur-Rahim;M;23;202;229,2807525;United States;Basketball;Basketball Men's Basketball;Gold
Gezahgne Abera;M;22;166;127,868112;Ethiopia;Athletics;Athletics Men's Marathon;Gold
Michael Brent Abernathy;M;22;182;185,1883001;United States;Baseball;Baseball Men's Baseball;Gold
Dainius Adomaitis;M;26;202;220,462262;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Adriana Aparecida dos Santos;F;29;180;134,4819798;Brazil;Basketball;Basketball Women's Basketball;Bronze
"Adriana ""Adrianinha"" Moiss Pinto";F;21;170;143,3004703;Brazil;Basketball;Basketball Women's Basketball;Bronze
"Taismary ""Tai"" Agero Leiva (-Botteghi)";F;23;175;154,3235834;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
Jrg Ahmann;M;34;190;194,0067906;Germany-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
Mara Magdalena Aicega Amicarelli;F;26;165;132,2773572;Argentina;Hockey;Hockey Women's Hockey;Silver
"Charles Benedict ""Ben"" Ainslie";M;23;183;198,4160358;Great Britain;Sailing;Sailing Mixed One Person Dinghy;Gold
Kurt Harold Ainsworth;M;22;187;185,1883001;United States;Baseball;Baseball Men's Baseball;Gold
Brett Aitken;M;29;173;143,3004703;Australia;Cycling;Cycling Men's Madison;Gold
Eirini Andili;F;17;167;99,2080179;Greece;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Omar Ajete Iglesias;M;35;175;205,0299037;Cuba;Baseball;Baseball Men's Baseball;Silver
Marina Dazmirovna Akobiya;F;25;165;125,6634893;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Fehaid Al-Deehani;M;33;178;209,4391489;Kuwait;Shooting;Shooting Men's Double Trap;Bronze
Khaled Al-Eid;M;31;175;125,6634893;Saudi Arabia;Equestrianism;Equestrianism Mixed Jumping, Individual;Bronze
Hadi Soua'an Al-Somaily Jaadan;M;23;191;158,7328286;Saudi Arabia;Athletics;Athletics Men's 400 metres Hurdles;Silver
David Albelda Aliqus;M;23;182;165,3466965;Spain;Football;Football Men's Football;Silver
Virgilijus Alekna;M;28;200;286,6009406;Lithuania;Athletics;Athletics Men's Discus Throw;Gold
Alessandra dos Santos de Oliveira;F;26;200;187,3929227;Brazil;Basketball;Basketball Women's Basketball;Bronze
Buffy-Lynne Alexander-Williams;F;23;170;152,1189608;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Yevgeny Vasilyevich Aleynikov;M;33;181;194,0067906;Russia;Shooting;Shooting Men's Air Rifle, 10 metres;Bronze
Sergey Gennadyevich Alifirenko;M;41;168;158,7328286;Russia;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;Gold
Mohamed Allalou;M;26;174;138,8912251;Algeria;Boxing;Boxing Men's Light-Welterweight;Bronze
"Kate Ruth ""Katie"" Allen";F;26;170;143,3004703;Australia;Hockey;Hockey Women's Hockey;Gold
Walter Ray Allen;M;25;192;205,0299037;United States;Basketball;Basketball Men's Basketball;Gold
"Sandra Louise ""Sandy"" Allen-Lewis";F;21;170;130,0727346;Australia;Softball;Softball Women's Softball;Bronze
"Katherine Fiona ""Kate"" Allenby";F;26;177;158,7328286;Great Britain;Modern Pentathlon;Modern Pentathlon Women's Individual;Bronze
Nicolas Alnoudji;M;20;180;176,3698096;Cameroon;Football;Football Men's Football;Gold
Glory Alozie Oluchi;F;22;155;112,4357536;Nigeria;Athletics;Athletics Women's 100 metres Hurdles;Silver
Malin Therse Alshammar;F;23;180;141,0958477;Sweden;Swimming;Swimming Women's 50 metres Freestyle;Silver
Malin Therse Alshammar;F;23;180;141,0958477;Sweden;Swimming;Swimming Women's 100 metres Freestyle;Silver
Malin Therse Alshammar;F;23;180;141,0958477;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Cristin Andrs lvarez Valenzuela;M;20;173;136,6866024;Chile;Football;Football Men's Football;Bronze
Maksim Nikolayevich Alyoshin;M;21;166;138,8912251;Russia;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Simona Amnar (-Tabr);F;20;158;97,00339528;Romania;Gymnastics;Gymnastics Women's Individual All-Around;Gold
Simona Amnar (-Tabr);F;20;158;97,00339528;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Simona Amnar (-Tabr);F;20;158;97,00339528;Romania;Gymnastics;Gymnastics Women's Floor Exercise;Bronze
Serena Bibiana Amato;F;26;170;138,8912251;Argentina;Sailing;Sailing Women's One Person Dinghy;Bronze
Ivn Amaya Carazo;M;22;188;187,3929227;Spain;Football;Football Men's Football;Silver
Christie Ambrosi;F;23;172;154,3235834;United States;Softball;Softball Women's Softball;Gold
Tatyana Vasilyevna Ananko;F;16;171;114,6403762;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Camilla Rseler Andersen;F;27;169;143,3004703;Denmark;Handball;Handball Women's Handball;Gold
Andrea Arlene Anderson (-Bolder);F;22;164;134,4819798;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Per Magnus Andersson;M;34;180;176,3698096;Sweden;Handball;Handball Men's Handball;Silver
Misako Ando;F;29;163;132,2773572;Japan;Softball;Softball Women's Softball;Silver
Vladimir Vasilyevich Andreyev;M;34;170;127,868112;Russia;Athletics;Athletics Men's 20 kilometres Walk;Bronze
Michel Andrieux;M;33;192;202,825281;France;Rowing;Rowing Men's Coxless Pairs;Gold
Miguel ngel Angulo Valderrey;M;23;175;154,3235834;Spain;Football;Football Men's Football;Silver
Yekaterina Yevgenyevna Anikeyeva;F;31;178;138,8912251;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Alyson Regina Annan;F;27;162;143,3004703;Australia;Hockey;Hockey Women's Hockey;Gold
Michel Ansermet;M;35;178;158,7328286;Switzerland;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;Silver
Mariela Andrea Antoniska Arrondo;F;25;170;154,3235834;Argentina;Hockey;Hockey Women's Hockey;Silver
Tessa Appeldoorn;F;27;177;156,528206;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Yosvany Aragn Rodrguez;M;26;186;202,825281;Cuba;Baseball;Baseball Men's Baseball;Silver
Daniel Aranzubia Aguado;M;20;184;165,3466965;Spain;Football;Football Men's Football;Silver
Simon David Archer;M;27;189;189,5975453;Great Britain-2;Badminton;Badminton Mixed Doubles;Bronze
"Jennifer Margaret ""Jenny"" Armstrong";F;30;171;130,0727346;Australia;Sailing;Sailing Women's Two Person Dinghy;Gold
Ins Arrondo;F;22;167;127,868112;Argentina;Hockey;Hockey Women's Hockey;Silver
Francisco Esteban Arru Pardo;M;23;169;141,0958477;Chile;Football;Football Men's Football;Bronze
"Samantha ""Sam"" Arsenault (-Livingstone)";F;18;178;152,1189608;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Yevgeniya Viktorovna Artamonova-Estes;F;25;191;165,3466965;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Giorgi Asanidze;M;25;173;187,3929227;Georgia;Weightlifting;Weightlifting Men's Light-Heavyweight;Bronze
Brahim Asloum;M;21;165;105,8218858;France;Boxing;Boxing Men's Light-Flyweight;Gold
Igor Vyacheslavovich Astapkovich;M;37;192;264,5547144;Belarus;Athletics;Athletics Men's Hammer Throw;Bronze
Louis Mark Attrill;M;25;193;209,4391489;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Nduka Awazie;M;19;172;163,1420739;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
"Luciana Paula ""Lucha"" Aymar";F;23;178;130,0727346;Argentina;Hockey;Hockey Women's Hockey;Silver
Sanjay Claude Ayre;M;20;188;185,1883001;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Yelena Yuryevna Azarova;F;27;165;141,0958477;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Filiberto Azcuy Aguilera;M;27;177;163,1420739;Cuba;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Gold
